COLE_COD_MCPIO_UBICACION,Ano,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,ESTU_TIENEETNIA,COLE_NATURALEZA,PUNT_GLOBAL,MUNICIPIO,DEPARTAMENTO,PoblacionTotal,ConexMilHab,NoAccesosFijos,Indice_Rural
05001,2014,0.7431223402472942,0.792480648728345,0.03630011645316919,0.40113125935784394,254.39544169023458,MEDELLÍN,ANTIOQUIA,2436071.0,198.90943244265048,484557.5,0.018039704097294374
05001,2015,0.7561312718973996,0.7796920703288226,0.011051498698878786,0.43656632505541815,252.2833231599576,MEDELLÍN,ANTIOQUIA,2431666.0,208.31993374090027,506564.5,0.018147640342053555
05001,2016,0.7725502361010581,0.760934753386413,0.013303769401330377,0.3855023025754733,263.10332594235035,MEDELLÍN,ANTIOQUIA,2420516.0,224.5926075266596,543630.0,0.018249827722683923
05001,2017,0.7963935509934261,0.7456776155287629,0.008890432366730336,0.3797881576662615,259.877721826706,MEDELLÍN,ANTIOQUIA,2414616.0,234.98519019173236,567399.0,0.018250520993814336
05001,2018,0.8088389513108615,0.734034780067222,0.007079831200083702,0.37659121821923064,255.5630035224776,MEDELLÍN,ANTIOQUIA,2427129.0,240.17336944183847,582931.75,0.018429181143647496
05001,2019,0.8152189570728896,0.704728299223712,0.00746996870688785,0.38029543389750664,248.30347589084425,MEDELLÍN,ANTIOQUIA,2483545.0,245.34475920508788,609324.75,0.017746809500129853
05002,2014,0.33088235294117646,0.5882352941176471,0.0,0.0,254.75735294117646,ABEJORRAL,ANTIOQUIA,19796.0,40.79106890280865,807.5,0.6305314204889877
05002,2015,0.42011834319526625,0.5857988165680473,0.0,0.0,249.62721893491124,ABEJORRAL,ANTIOQUIA,19897.0,43.70005528471629,869.5,0.6292405890335226
05002,2016,0.4563758389261745,0.5503355704697986,0.0,0.0,260.5302013422819,ABEJORRAL,ANTIOQUIA,19979.0,44.52174783522699,889.5,0.6278091996596427
05002,2017,0.3930635838150289,0.45251396648044695,0.0,0.0,251.353591160221,ABEJORRAL,ANTIOQUIA,20047.0,48.111936948171795,964.5,0.6243827006534644
05002,2018,0.3711340206185567,0.4793814432989691,0.0,0.0,247.51282051282053,ABEJORRAL,ANTIOQUIA,20367.0,50.21603574409584,1022.75,0.6232140226837531
05002,2019,0.35638297872340424,0.37037037037037035,0.0,0.0,235.2421052631579,ABEJORRAL,ANTIOQUIA,20258.0,53.55908776779544,1085.0,0.6161022805805114
05004,2014,0.0967741935483871,0.1935483870967742,0.3548387096774194,0.16129032258064516,220.5483870967742,ABRIAQUÍ,ANTIOQUIA,2488.0,25.522508038585208,63.5,0.6881028938906752
05004,2015,0.06896551724137931,0.3448275862068966,0.0,0.1724137931034483,223.72413793103448,ABRIAQUÍ,ANTIOQUIA,2514.0,24.463007159904535,61.5,0.6877486077963405
05004,2016,0.038461538461538464,0.38461538461538464,0.038461538461538464,0.0,249.19230769230768,ABRIAQUÍ,ANTIOQUIA,2539.0,25.20677432059866,64.0,0.6920047262701852
05004,2017,0.125,0.2916666666666667,0.0,0.0,243.75,ABRIAQUÍ,ANTIOQUIA,2593.0,25.645969919012728,66.5,0.691477053605862
05004,2018,0.19230769230769232,0.5,0.0,0.0,226.80769230769232,ABRIAQUÍ,ANTIOQUIA,2695.0,27.087198515769945,73.0,0.6942486085343228
05004,2019,0.28,0.6,0.0,0.0,236.42307692307693,ABRIAQUÍ,ANTIOQUIA,2710.0,30.627306273062732,83.0,0.6926199261992619
05021,2014,0.2564102564102564,0.6410256410256411,0.0,0.48717948717948717,237.76923076923077,ALEJANDRÍA,ANTIOQUIA,4467.0,46.787553167674055,209.0,0.47727781508842626
05021,2015,0.27906976744186046,0.5581395348837209,0.0,0.4418604651162791,240.5581395348837,ALEJANDRÍA,ANTIOQUIA,4511.0,56.08512524939038,253.0,0.47439592108180006
05021,2016,0.32142857142857145,0.39285714285714285,0.0,0.0,253.17857142857142,ALEJANDRÍA,ANTIOQUIA,4543.0,62.623816861105,284.5,0.47237508254457405
05021,2017,0.34210526315789475,0.47368421052631576,0.0,0.0,249.1315789473684,ALEJANDRÍA,ANTIOQUIA,4570.0,63.67614879649891,291.0,0.4671772428884026
05021,2018,0.2978723404255319,0.5333333333333333,0.0,0.0,247.5625,ALEJANDRÍA,ANTIOQUIA,4657.0,67.04960274855057,312.25,0.4663946746832725
05021,2019,0.34375,0.36363636363636365,0.0,0.0,231.33333333333334,ALEJANDRÍA,ANTIOQUIA,4669.0,67.94816877275647,317.25,0.45084600556864424
05030,2014,0.39090909090909093,0.5696969696969697,0.04242424242424243,0.11515151515151516,236.84848484848484,AMAGÁ,ANTIOQUIA,28432.0,66.33370849746764,1886.0,0.5144907146876758
05030,2015,0.2931596091205212,0.46579804560260585,0.003257328990228013,0.14006514657980457,230.96091205211727,AMAGÁ,ANTIOQUIA,28691.0,73.48994458192465,2108.5,0.5167822662158865
05030,2016,0.48134328358208955,0.6417910447761194,0.007462686567164179,0.08582089552238806,248.92910447761193,AMAGÁ,ANTIOQUIA,29006.0,78.70785354754189,2283.0,0.5208232779424946
05030,2017,0.5035460992907801,0.5862068965517241,0.0,0.10810810810810811,239.27027027027026,AMAGÁ,ANTIOQUIA,29429.0,88.07638723707908,2592.0,0.5247544938665942
05030,2018,0.5387205387205387,0.5570469798657718,0.0,0.14098360655737704,234.35081967213114,AMAGÁ,ANTIOQUIA,30227.0,94.1294207165779,2845.25,0.5307506533893539
05030,2019,0.6195652173913043,0.5555555555555556,0.0,0.15331010452961671,227.55400696864112,AMAGÁ,ANTIOQUIA,30777.0,103.1614517334373,3175.0,0.5213308639568509
05031,2014,0.4673913043478261,0.5760869565217391,0.0,0.0,237.78623188405797,AMALFI,ANTIOQUIA,24145.0,50.859391178297784,1228.0,0.4360737212673431
05031,2015,0.2866666666666667,0.36666666666666664,0.0033333333333333335,0.0,233.94666666666666,AMALFI,ANTIOQUIA,24444.0,57.98969072164948,1417.5,0.43556701030927836
05031,2016,0.4583333333333333,0.48333333333333334,0.0,0.0,236.85555555555555,AMALFI,ANTIOQUIA,24794.0,64.55190771960959,1600.5,0.4365168992498185
05031,2017,0.47333333333333333,0.4517133956386293,0.003067484662576687,0.0,236.59509202453987,AMALFI,ANTIOQUIA,25205.0,70.72009521920253,1782.5,0.4373735369966277
05031,2018,0.5197132616487455,0.47019867549668876,0.0,0.0,224.02280130293158,AMALFI,ANTIOQUIA,25962.0,64.75810800400585,1681.25,0.4411832678530159
